"Slug",":draft","Model","År","Pris","Kategori","Type","Egenvægt","Totalvægt","Lagernummer","Lasteevne","Billede 1","Billede 1:alt","Billede 2","Billede 2:alt","Billede 3","Billede 3:alt","Billede 4","Billede 4:alt","Billede 5","Billede 5:alt","Billede 6","Billede 6:alt","Installationer og tilbehør","Yderligere oplysninger","Størrelse"
"hobby-premium-560-cfe","false","Hobby Premium 560 CFE","2017. Reg. f. gang 2019","169.900,-","Brugt","Campingvogn","1503","2000","","497","https://framerusercontent.com/images/VcA6nI0RgRALzghj6wffe32BvA8.jpg","","https://framerusercontent.com/images/klsXVZj7rUWiSm3LLZC51VrcGVg.jpg","","https://framerusercontent.com/images/c370fVyGKl8bpWbHUct3DQnnDoM.jpg","","https://framerusercontent.com/images/TEteZ0YAjIWxEGymB6ZcaLEKAh8.jpg","","https://framerusercontent.com/images/PFkUZkO20BsBM8uZmPZZyBVCkU.jpg","","https://framerusercontent.com/images/8MbvSalTsrj1o1EZTuMn4m7OeM.jpg","","<p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fransk seng</p><p dir=""auto"">✅ Køleskab</p><p dir=""auto"">✅ Fast vandtank</p><p dir=""auto"">✅ Varmt vand</p><p dir=""auto"">✅ Toiletrum</p><p dir=""auto"">✅ Brusebund</p><p dir=""auto"">✅ Casettetoilet</p><p dir=""auto"">✅ Centralvarme</p><p dir=""auto"">✅ Gulvvarme</p><p dir=""auto"">✅ Rullegardiner</p><p dir=""auto"">✅ Casettegardiner</p><p dir=""auto"">✅ Fluenetsdør</p><p dir=""auto"">✅ TV antenne</p><p dir=""auto"">✅ Stor tagluge</p><p dir=""auto"">✅ Alufælge</p><p dir=""auto"">✅ Stabilisator</p><p dir=""auto"">✅ Serviceklap</p><p dir=""auto"">✅ Mover</p><p dir=""auto"">✅ Fortelt</p>","<p dir=""auto"">Velholdt 1 ejers vogn med centralvarme, gulvvarme, mover, Isabella fortelt, alufælge m.m.</p><p dir=""auto"">Pris kun kr. 169900,-</p><p dir=""auto"">Vognen står i Struer.</p>",""
"adria-502-ls","false","Adria 502 LS","2005","49.900,-","Brugt","Campingvogn","925","1100 - 1300","","175 - 375","https://framerusercontent.com/images/Zrge8qej6mhVgwm2zULvSYsVVQ.jpg","","https://framerusercontent.com/images/50pF9aJadnRdyOfXgX2LVakk1Q.jpg","","https://framerusercontent.com/images/lFDDd2FpXFzrR9MR39h7ehk.jpg","","https://framerusercontent.com/images/x4y4wqDpeiqtnJUVqhbJ9Bg5UmQ.jpg","","https://framerusercontent.com/images/8jbF2kibPIdsqndmVCXhe19Zs.jpg","","","","<p>✅ Enkelt senge</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn med blæser</p><p>✅ Fast vandtank</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p><br></p><p><br></p><p><br></p>","<p>Let 2 personers vogn med fortelt og enkeltsenge.</p><p>Egenvægt kun 925 kg.</p><p>Vognen står i Struer.</p>",""
"sprite-390-ek","false","Sprite 390 EK","2006","49.900,-","Brugt","Campingvogn","1000","1200 - 1350","","200 - 350","https://framerusercontent.com/images/1d2o3nu1TufQDfjkbTjuCpKHfE.jpg","","https://framerusercontent.com/images/TEQHiXiTxdcbikFNLbKAIDBIA.jpg","","https://framerusercontent.com/images/VCfLD5k15Fe1j4doSkqqyg7Br3A.jpg","","https://framerusercontent.com/images/JqJTUcPxzodGd11lO5dGcb2ntrU.jpg","","https://framerusercontent.com/images/AxR9WX14PLEDhrbcBaC69o6tPI.jpg","","","","<p>✅ Enkelt senge</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmt vand</p><p>✅ Vandtank på hjul</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn med blæser</p><p>✅ Truma ultra heat</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Alufælge</p><p>✅ Mover</p><p>✅ Cykelstativ</p>","<p>Fin rejsevogn med ladepakke, gasvandvarmer, mover, gaskomfur med gasbageovn, ultra heat og nyere fortelt.</p><p>Vognen kan bruges uafhængig af adgang til 220 volt.</p><p>Vognen står i Struer.</p>",""
"adria-adora-613-ut","false","Adria Adora 613 UT","2022","279.900,-","Brugt","Campingvogn","1590","2000","","410","https://framerusercontent.com/images/ylml1gKZcZGr3gBPaYtGk2KRzhI.jpeg","","https://framerusercontent.com/images/yTFD4DHKxAHnBNNuzZORIHqU.jpeg","","https://framerusercontent.com/images/8u2gyWOBa6wZ9g8qjDvFXq7w0.jpeg","","https://framerusercontent.com/images/4gtdkhHHIPJsul7OYnLItEkXXHs.jpeg","","https://framerusercontent.com/images/qLL0JiOaxmp5TSUYSRhJ6cDmDI.jpeg","","","","<p>✅ Dobbelt seng</p><p>✅ Fast Vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Centralvarme</p><p>✅ Gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Serviceklap</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Alufælge</p><p>✅ Mover</p><p>✅ Markise</p>","",""
"dethleffs-camper-style-490","false","Dethleffs Camper Style 490","2011","109.900,-","Brugt","Campingvogn","1090","1500","","410","https://framerusercontent.com/images/55sqOBnKtDMALSOehUZ9xRcUcoA.jpg","","https://framerusercontent.com/images/Mw36T5UrsoLTkdRL6Yvy53yAQE.jpg","","https://framerusercontent.com/images/Gf9hXcHmXkKENWbVsZPwlA0Ndm4.jpg","","https://framerusercontent.com/images/tQJt8vuOexSxU9rBmfSYy72dhQ.jpg","","https://framerusercontent.com/images/okxf9CU8BQwrHzutqvG50Vsc.jpg","","https://framerusercontent.com/images/LgFHN8SfP83yodTRkFFWs9rBKw.jpg","","<p>✅ Enkeltsenge</p><p>✅ Fast vandtank</p><p>✅ Køleskab</p><p>✅ Varmt vand</p><p>✅ Gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Fluenetsdør</p><p>✅ Toiletrum</p><p>✅ Brusebund</p><p>✅ Casette toilet</p><p>✅ Gasovn med blæser</p><p>✅ Stor tagluge</p><p>✅ TV antenne</p><p>✅ Alu fælge</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p><p>✅ Mover</p><p>✅ Fortelt</p><p>✅ Markise</p>","<p>Meget velholdt vogn.</p><p>Vognen står i Struer.</p>",""
"hobby-560","false","Hobby Prestige 560 UL","2011","109.900,-","Brugt","Campingvogn","1357","1600","","243","https://framerusercontent.com/images/hc80P3ynwjmhr1exSHJA7QjR9Q.jpg","","https://framerusercontent.com/images/7hYoz7msszUYtX16X6h7ZrHdrg.jpg","","https://framerusercontent.com/images/LGHfSiti7X6PARjXPrsPx8r2PBg.jpg","","https://framerusercontent.com/images/LJhq6zdsBs46KgccEOO2zaIhccs.jpg","","https://framerusercontent.com/images/Kbhtu18Fi3Z8RUwpKHP700JMTM.jpg","","","","<p>✅Enkelt senge</p><p>✅ Fast vandtank</p><p>✅ Køleskab</p><p>✅ Varmt vand</p><p>✅ Toiletrum</p><p>✅ Brusebund</p><p>✅ Casette toilet</p><p>✅ Gasovn med blæser</p><p>✅ Casettegardiner</p><p>✅ Rullegardiner</p><p>✅ Fluenetsdøt</p><p>✅  Stor tagluge</p><p>✅ Alufælge</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p><p>✅ Mover</p><p>✅ Fortelt</p>","<p dir=""auto"">Fin Hobby 560 med enkeltsenge, mover og fortelt.</p><p dir=""auto"">Nedsat fra kr. 114.900,-</p><p dir=""auto"">Vognen står i Struer.</p>",""
"kabe-royal-780-tdl","false","Kabe Royal 780 TDL","2008","174.900,-","Brugt","Campingvogn","1775","2100","","325","https://framerusercontent.com/images/JEyI2EktdfGdhqOiaw8Ja093U.jpg","","https://framerusercontent.com/images/q7KcyqnfDq78wqtzpDPCwoLWm4Q.jpg","","https://framerusercontent.com/images/U5lVG2Tc0Du8cugDQp9peXJ6K8.jpg","","https://framerusercontent.com/images/2w4vAk02ugoU4IkD6TYdLPZI4fk.jpg","","https://framerusercontent.com/images/JDxIV2cjP2zV5hraL6Dh8gHW10.jpg","","https://framerusercontent.com/images/eJeTVS5TZdDbudx54rEPHP5gw.jpg","","<p>✅ Dobbeltseng</p><p>✅ Fast vandtank</p><p>✅ Køleskab</p><p>✅ Ovn</p><p>✅ Varmt vand</p><p>✅ Toiletrum</p><p>✅ Brusebund</p><p>✅ Casette toilet</p><p>✅ Centralvarme</p><p>✅ Gulvvarme</p><p>✅ Casettegardiner</p><p>✅ Rullegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Alufælge</p><p>✅ Serviceklap</p><p>✅ Stabilisator</p><p>✅ Mover</p><p>✅ Markise</p>","<p>Stor luksusvogn med læderindtræk og centralvarme m.m.</p><p>Super velholdt.</p><p>Vognen står i Struer.</p>",""
"cabby-620","false","Cabby 620+","2008","114.900,-","Brugt","Campingvogn","1369","1800","","431","https://framerusercontent.com/images/rbZvi8KTKReBnlYBdfvjM6NA.jpg","","https://framerusercontent.com/images/ofyGu1GHIkRMYSpxWM2TE8FeOy4.jpg","","https://framerusercontent.com/images/IL38LHasyB49FYXHRcumHXnqdFE.jpg","","https://framerusercontent.com/images/Oj48p1z3VPqhuIMnF2E9GFOQtHQ.jpg","","","","","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Brusebund</p><p>✅ TV-antenne</p><p>✅ Rullegardiner</p><p>✅ Centralvarme</p><p>✅ Gulvvarme</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p><p>✅ Ovn</p><p>✅ Casette toilet</p><p>✅ Casettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Alufælge</p><p>✅ Mover</p><p>✅ Fortelt</p>","<p>Fin vogn med centralvarme og læderindtræk i siddegruppen.</p><p>Vognen står i Struer.</p>",""
"knaus-südwind-silver-selection-500-fu","false","Knaus Südwind Silver Selection 500 FU","2018","174.900,-","Brugt","Campingvogn","1268","1700","","432","https://framerusercontent.com/images/trzHtFan9dcJFocWUYWVmwMgT34.jpeg","","https://framerusercontent.com/images/PvqOvVE8YsGi5XJLIrsY1DQBuI4.jpeg","","https://framerusercontent.com/images/WSBSF60E9Vk5YgSGxAip0Hxmm8.jpeg","","https://framerusercontent.com/images/vby2uG63ZGP2M4orMdfzHacIjzE.jpeg","","","","","","<p>✅ Fransk seng</p><p>✅ Højt Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Gasovn m/blæser</p><p>✅ TV-beslag</p><p>✅ Rullegardiner</p><p>✅ Kantsyet gulvtæppe</p><p>✅ Gulvvarme</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Alufælge</p><p>✅ Mover</p><p>✅ Fortelt</p><p><br></p>","<p>Vognen kan nedvejes til 1500 kg</p><p>Vognen står i Mønsted.</p>",""
"hobby-de-luxe-540-ul","false","Hobby de luxe 540 UL","2013","124.900,-","Brygt","Campingvogn","1262","1750","","488","https://framerusercontent.com/images/tX6xmy11nKpVpedzxMLvO2wQHew.jpeg","","https://framerusercontent.com/images/lw8BHhwJ49Oc9JdTbUAM6zTaU.jpeg","","https://framerusercontent.com/images/lpyKXdNyNcHr4fK4Z1RNaIexc.jpeg","","https://framerusercontent.com/images/r958NEfncwCGldsV6rsIN4Ueeo.jpeg","","","","","","<p> Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Enkeltsenge</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Alde Centralvarme</p><p>✅ Gulvvarme</p><p>✅ TV-antenne</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p><p>✅ Cykelstativ</p><p>✅ Mover</p><p>✅ Fortelt</p>","<p dir=""auto"">Superfin vogn med alde centralvarme, cykelholder og mover.</p><p dir=""auto"">Vognen kan nedvejes.</p><p dir=""auto"">Nedsat fra kr. 129.900,-</p><p dir=""auto"">Vognen står i Mønsted.</p>",""
"knaus-südwind-scandinavia-selection-580-uf","false","Knaus Südwind Scandinavia Selection 580 UF","2023","289.900,-","Ny","Campingvogn","1515","1900","Viborg 29","385","https://framerusercontent.com/images/mQK1uaUudsn4OurXKXLQ5dzXGc8.jpg","","https://framerusercontent.com/images/OwKh3ni7JPeDJ7CQ7t3p0vFZk.jpg","","https://framerusercontent.com/images/6kTU4MqWidUplwWFp1CN27kLyAA.jpg","","https://framerusercontent.com/images/V8AeWs2jIRcLYs5nSnCkU7nZNco.jpg","","https://framerusercontent.com/images/XJKna30gtjxdedZ5uW9NRcJS53c.jpg","","","","<p>Vognen står i Mønsted.</p>","",""
"knaus-südwind-exclusive-580-uf","false","Knaus Südwind Exclusive 580 UF","2015","164.900,-","Brugt","Campingvogn","1419","1600","Struer 85","181","https://framerusercontent.com/images/k4G78yRt0mUO5Nj0CohD5yCmrxg.jpg","","https://framerusercontent.com/images/yD2CA4ApXgFgrUwxmE3XjPIbBhc.jpg","","https://framerusercontent.com/images/mJIyv3IjEkVyHwHJiH39bikjsNY.jpg","","https://framerusercontent.com/images/7ngyn5u03nAOlGNINPEEVDsE.jpg","","https://framerusercontent.com/images/PkjK9CNItF0bhCmLgWomfYa54.jpg","","https://framerusercontent.com/images/fIhxoKfD4R5Cpiz7WSq8V3Fg.jpg","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Centralvarme</p><p>✅ Gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Fortelt</p><p>✅ Alufælge</p><p>✅ Serviceklap</p>","<p>Fortelt beskrivelse: Isabella Penta</p><p>Reg. 1. gang: 20-07-2015</p><p>Sovepladser: 4</p><p>Siddepladser: 6</p><p>Vognen står i Struer.</p>",""
"knaus-südwind-exclusive-580-udf","false","Knaus Südwind Exclusive 580 UDF","2015","169.900,-","Brugt","Campingvogn","1419","1700","Viborg 105","281","https://framerusercontent.com/images/J9rubD0cfR1KnRT6HQ5F4NXOH4.jpg","","https://framerusercontent.com/images/L7csNpHUGlY324XKlNm7uWfgZt0.jpg","","https://framerusercontent.com/images/WhW0od8QMqWcRmSbGqw9pEx2iE.jpg","","https://framerusercontent.com/images/n8QYWIeg7pPrCpEdJweeZE59Y.jpg","","https://framerusercontent.com/images/jvXV1poB6Zw8ZKTrybCNOm4qG0.jpg","","","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Centralvarme</p><p>✅ Vandbåret gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Fortelt</p><p>✅ Alufælge</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p>","<p>Fortelt beskrivelse: Isabella Penta</p><p>Reg. 1. gang: 31-03-2015</p><p>Sovepladser: 4</p><p>Siddepladser: 6</p><p>Vognen står i Mønsted.</p>",""
"knaus-südwind-590-fus-silver-selection","false","Knaus Südwind 590 FUS Silver Selection","2016","169.000,-","Brugt","Campingvogn","1433","1800","Struer 68","367","https://framerusercontent.com/images/cY1BfzrL1CJklMOrUkPEgzicfg.jpg","","https://framerusercontent.com/images/AKxlZxQ4yne84sABtHnKTd4UAc.jpg","","https://framerusercontent.com/images/HDPNqu9dyfqrakhFe1SILth3KI.jpg","","https://framerusercontent.com/images/5XJOjFlQe3JuqlcOqEYC1eG0lk.jpg","","https://framerusercontent.com/images/pSIx17A5N2kKIPLWqj8KLZrTXpg.jpg","","https://framerusercontent.com/images/331HkFfBnHuUw9TCaj4LPpKATA.jpg","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn m/blæser</p><p>✅ Elektrisk gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Fortelt</p><p>✅ Mover</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p>","<p>Reg. 1. gang     08-08-2016</p><p>Sovepladser: 4               Siddepladser: 6</p><p>1 ejers vogn med alt i udstyr.</p><p>Vognen står i Struer.</p>",""
"knaus-südwind-500-uf-60-years","false","Knaus Südwind 500 UF 60 Years","2023","224.900,-","Ny","Campingvogn","1350","1800","Viborg 31","450","https://framerusercontent.com/images/qvnjF45km6uxnJXlGFuaVXxPAU.jpg","","https://framerusercontent.com/images/T2j1hOofsh2LFgevnloqW3xwAd4.jpg","","https://framerusercontent.com/images/UzZdmudMQ72stJlY5CvSdBtMH7k.jpg","","https://framerusercontent.com/images/Z7dFNDvHj2apzX3NDQYsszaAIVo.jpg","","https://framerusercontent.com/images/ClrJ2x3ctkoJyPXbNWZLXvIco.jpg","","","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn m/blæser</p><p>✅ Elektrisk gulvvarme</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ Alufælge</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p>","<p>Sovepladser: 4                  Siddepladser: 4</p><p>Vognen står i Mønsted.</p>",""
"knaus-sport-450-fu","false","Knaus Sport 450 FU","2011","99.900,-","Brugt","Campingvogn","980","1300","Struer 154","320","https://framerusercontent.com/images/1EtUk8jPUg2SsTHOZlOQ6nK7m4.jpg","","https://framerusercontent.com/images/pKDpo4107WUdYq5wxnStTMQsdc.jpg","","https://framerusercontent.com/images/erXtqPEGSGPzaKlIL0MaoHg1kY.jpg","","https://framerusercontent.com/images/k6ucF2s9NHbGi6l1a9idoEaUvE.jpg","","","","","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn m/blæser</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Markise</p><p>✅ Serviceklap</p>","<p dir=""auto"">Reg. 1. gang     2018</p><p dir=""auto"">Sovepladser: 4                        Siddepladser: 4</p><p dir=""auto"">Nedsat fra kr. 108.000,-</p><p dir=""auto"">Vognen står i Struer.</p>",""
"knaus-azur-580-eu","false","Knaus Azur 580 EU","2006","74.900,-","Brugt","Campingvogn","1225","1500","Mønsted 53","275","https://framerusercontent.com/images/y67F7XolIemyUCeI8wKoacVGxOE.jpg","","https://framerusercontent.com/images/mET3qqeDMnX4GaKBkCDUid5OCZ8.jpg","","https://framerusercontent.com/images/gEYY6X01HhNNo3bRDqbM9HTqM.jpg","","https://framerusercontent.com/images/zfzIuqylY6aTIZq4nEZ104bp2w.jpg","","","","","","<p>✅ Enkeltsenge</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn m/blæser</p><p>✅ Centralvarme</p><p>✅ Gulvtæppe</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p>","<p>Reg. 1. gang     01-01-2006</p><p>Sovepladser: 4                        Siddepladser: 5</p><p>3 m Isabella Fortelt</p><p>Vognen står i Mønsted.</p>",""
"hobby-prestige-650-wfu","false","Hobby Prestige 650 WFU","2011","119.900,-","Brugt","Campingvogn","1560","1900","Struer 65","340","https://framerusercontent.com/images/se2qowwKbAghOSPNxMx1ea6lNms.jpg","","https://framerusercontent.com/images/8h7kzhGbXjxJxLSrYgbuiMFA2M.jpg","","https://framerusercontent.com/images/4tV7vjJomzNMJ3la3S10JEoHOmc.jpg","","https://framerusercontent.com/images/TWnOPfJXOdGYw6qf2YEITeadYr8.jpg","","https://framerusercontent.com/images/p9TIqnok2Fi1BP11V9QHFSXPz8.jpg","","https://framerusercontent.com/images/Zl60WQzhkjU4pGeyzWKpPxidbDU.jpg","","<p>✅ Dobbeltseng</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn m/blæser</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p>","<p dir=""auto"">Reg. 1. gang     15-06-2011</p><p dir=""auto"">Sovepladser: 4                     Siddepladser: 6</p><p dir=""auto"">Universalfortelt</p><p dir=""auto"">Nedsat fra kr. 133.000,-</p><p dir=""auto"">Vognen står i Struer.</p>",""
"hobby-prestige-610-ul","false","Hobby Prestige 610 UL","2013","149.900,-","Brugt","Campingvogn","1571","2000","Mønsted 01","429","https://framerusercontent.com/images/x0RpdxXELciEBArZNYuqzCEwk.jpg","","https://framerusercontent.com/images/J6qml2LuhHoe9Gmr6CCtWzqP6s.jpg","","https://framerusercontent.com/images/qacb2nKLL0gbzxABFImOLsLNguo.jpg","","https://framerusercontent.com/images/8BY7PXiCCsbpuZfZxWWhPB7py0.jpg","","https://framerusercontent.com/images/7o3bcsjhMs8yirGeYT3piOCr1A.jpg","","","","<p>✅ Enkeltsenge</p><p>✅ Køleskab</p><p>✅ Fast vandtank</p><p>✅ Varmtvand</p><p>✅ Toiletrum</p><p>✅ Cassettetoilet</p><p>✅ Brusebund</p><p>✅ Gasovn m/blæser</p><p>✅ Rullegardiner</p><p>✅ Cassettegardiner</p><p>✅ Fluenetsdør</p><p>✅ Stor tagluge</p><p>✅ TV-antenne</p><p>✅ Fortelt</p><p>✅ Stabilisator</p><p>✅ Serviceklap</p>","<p dir=""auto"">Reg. 1. gang     11-12-2014</p><p dir=""auto"">Sovepladser: 4                    Siddepladser: 6</p><p dir=""auto"">Nedsat fra kr. 163.000,-</p><p dir=""auto"">Vognen står i Mønsted.</p>",""
